Vivado Simulator 2019.1
Time resolution is 1 ps
Time	  a  b  cin  sum carry
0	x x x  x   x
23000	1 0 0  1   0
36000	0 1 0  1   0
49000	0 0 1  1   0
62000	1 1 0  0   1
75000	1 0 1  0   1
88000	0 1 1  0   1
101000	1 1 0  0   1
114000	1 1 1  1   1
$finish called at time : 114 ns : File "/home/it/01design/01Design_repo/Task3_FA/Task3_FA.srcs/sim_1/new/test_FA.sv" Line 61
